Scenario,Year,Season,Hour,Load profile (kWh)
Base load profile,2019,Winter,0,170.0
Base load profile,2019,Winter,1,580.0
Base load profile,2019,Winter,2,600.0
Base load profile,2019,Winter,3,599.640072
Base load profile,2019,Winter,4,20.0
Base load profile,2019,Winter,5,0.0
Base load profile,2019,Winter,6,29.72005599
Base load profile,2019,Winter,7,92.16556689
Base load profile,2019,Winter,8,175.874825
Base load profile,2019,Winter,9,212.6204759
Base load profile,2019,Winter,10,82.98240352
Base load profile,2019,Winter,11,194.9530094
Base load profile,2019,Winter,12,430.0
Base load profile,2019,Winter,13,390.0
Base load profile,2019,Winter,14,320.1569686
Base load profile,2019,Winter,15,117.6284743
Base load profile,2019,Winter,16,116.4237153
Base load profile,2019,Winter,17,38.17036593
Base load profile,2019,Winter,18,7.384523097
Base load profile,2019,Winter,19,3.829234153
Base load profile,2019,Winter,20,112.0565887
Base load profile,2019,Winter,21,159.2181564
Base load profile,2019,Winter,22,198.1893621
Base load profile,2019,Winter,23,668.3753249
