Scenario,Year,Season,Municipality,Total Cost (DSO),Fixed fees (DSO),Power (DSO),Energy (DSO),Energy (Spot)
Base load profile,2019,Autumn,Falköping,881.3740548131867,0.0,881.3740548131867,0.0,2074.016992757366
Base load profile,2019,Autumn,Götene,8565.88652990177,57.53424657534247,8130.675655651648,377.67662767477987,2074.016992757366
Base load profile,2019,Autumn,Hjo,8326.370514459917,85.47945205479454,7932.366493318681,308.52456908643995,2074.016992757366
Base load profile,2019,Autumn,Mariestad,7405.783071607735,49.315068493150676,7117.095492616485,239.37251049809993,2074.016992757366
Base load profile,2019,Autumn,Skara,8326.370514459917,85.47945205479454,7932.366493318681,308.52456908643995,2074.016992757366
Base load profile,2019,Autumn,Skövde,8326.370514459917,85.47945205479454,7932.366493318681,308.52456908643995,2074.016992757366
Base load profile,2019,Autumn,Tibro,2920.68552688618,105.5424657534247,2357.6755966252745,457.46746450747986,2074.016992757366
Base load profile,2019,Autumn,Tidaholm,3475.2002470283696,74.27671232876716,3150.9122459571427,250.0112887424599,2074.016992757366
Base load profile,2019,Autumn,Töreboda,7405.783071607735,49.315068493150676,7117.095492616485,239.37251049809993,2074.016992757366
Base load profile,2019,Spring,Falköping,871.7939020434784,0.0,871.7939020434784,0.0,2025.3321200872062
Base load profile,2019,Spring,Götene,8477.509620601211,57.53424657534247,8042.298746351089,377.6766276747798,2025.3321200872062
Base load profile,2019,Spring,Hjo,8240.149139532537,85.47945205479454,7846.145118391304,308.52456908643995,2025.3321200872062
Base load profile,2019,Spring,Mariestad,7328.423337992337,49.315068493150676,7039.735759001087,239.37251049809993,2025.3321200872062
Base load profile,2019,Spring,Skara,8240.149139532537,85.47945205479454,7846.145118391304,308.52456908643995,2025.3321200872062
Base load profile,2019,Spring,Skövde,8240.149139532537,85.47945205479454,7846.145118391304,308.52456908643995,2025.3321200872062
Base load profile,2019,Spring,Tibro,2895.058618227209,105.5424657534247,2332.048687966305,457.46746450748,2025.3321200872062
Base load profile,2019,Spring,Tidaholm,3440.9512008766615,74.27671232876716,3116.6631998054345,250.0112887424599,2025.3321200872062
Base load profile,2019,Spring,Töreboda,7328.423337992337,49.315068493150676,7039.735759001087,239.37251049809993,2025.3321200872062
Base load profile,2019,Summer,Falköping,871.7939020434785,0.0,871.7939020434785,0.0,1756.7858367947501
Base load profile,2019,Summer,Götene,8477.509620601211,57.53424657534247,8042.298746351089,377.6766276747798,1756.7858367947501
Base load profile,2019,Summer,Hjo,8240.149139532537,85.47945205479454,7846.145118391301,308.52456908643995,1756.7858367947501
Base load profile,2019,Summer,Mariestad,7328.423337992337,49.315068493150676,7039.735759001087,239.37251049809993,1756.7858367947501
Base load profile,2019,Summer,Skara,8240.149139532537,85.47945205479454,7846.145118391301,308.52456908643995,1756.7858367947501
Base load profile,2019,Summer,Skövde,8240.149139532537,85.47945205479454,7846.145118391301,308.52456908643995,1756.7858367947501
Base load profile,2019,Summer,Tibro,2895.0586182272095,105.5424657534247,2332.048687966305,457.46746450748,1756.7858367947501
Base load profile,2019,Summer,Tidaholm,3440.951200876661,74.27671232876716,3116.6631998054345,250.0112887424599,1756.7858367947501
Base load profile,2019,Summer,Töreboda,7328.423337992337,49.315068493150676,7039.735759001087,239.37251049809993,1756.7858367947501
Base load profile,2019,Winter,Falköping,891.1670998666666,0.0,891.1670998666666,0.0,2392.7997347389537
Base load profile,2019,Winter,Götene,8656.227370520126,57.53424657534247,8221.016496270002,377.67662767477987,2392.7997347389537
Base load profile,2019,Winter,Hjo,8414.507919941234,85.47945205479454,8020.503898799998,308.52456908644,2392.7997347389537
Base load profile,2019,Winter,Mariestad,7484.8619104145855,49.315068493150676,7196.174331423334,239.37251049809998,2392.7997347389537
Base load profile,2019,Winter,Skara,8414.507919941234,85.47945205479454,8020.503898799998,308.52456908644,2392.7997347389537
Base load profile,2019,Winter,Skövde,8414.507919941234,85.47945205479454,8020.503898799998,308.52456908644,2392.7997347389537
Base load profile,2019,Winter,Tibro,3147.984951800238,105.5424657534247,2383.871992143333,658.57049390348,2392.7997347389537
Base load profile,2019,Winter,Tidaholm,3510.2103830945607,74.27671232876715,3185.922382023333,250.01128874245995,2392.7997347389537
Base load profile,2019,Winter,Töreboda,7484.8619104145855,49.315068493150676,7196.174331423334,239.37251049809998,2392.7997347389537
